ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt2188116,Baandhon,2012.0,110.0,8.2,41.0,Drama            ,assamese
tt3329774,Thira,2013.0,113.0,7.3,904.0,Thriller            ,malayalam
tt0232639,Shrimati Ji,1952.0,,4.1,7.0,"Comedy, Thriller            ",hindi
tt0988036,Fear,,,3.6,125.0,Horror            ,hindi
tt10986080,Kandy Twist,2019.0,113.0,8.2,8.0,Drama            ,hindi
tt0377127,Dongodu,2003.0,144.0,4.9,107.0,Comedy            ,telugu
tt1906471,Taryanche Bait,2011.0,,7.0,111.0,Drama            ,marathi
tt0269079,Chelleli Kapuram,1971.0,167.0,8.2,5.0,"Musical, Drama            ",telugu
tt1538394,Subha O Debatar Gras,1964.0,,7.1,8.0,Drama            ,bengali
tt0489530,Nyaydaata,1999.0,123.0,5.0,13.0,Action            ,hindi
tt3255586,P Se PM Tak,2015.0,123.0,3.9,80.0,"Comedy, Drama            ",hindi
tt8954610,Gounder Vettu Mappillai,2002.0,136.0,3.2,5.0,Drama            ,tamil
tt1579922,Aa Roje,2007.0,,4.6,5.0,Action            ,telugu
tt0833529,Saatchya Aat Gharat,2004.0,140.0,7.2,191.0,Drama            ,marathi
tt1346256,Crazy Gopalan,2008.0,,5.0,269.0,Comedy            ,malayalam
tt8535546,Aatagadharaa Siva,2018.0,111.0,7.3,163.0,"Action, Comedy, Drama            ",telugu
tt5340534,Express Raja,2016.0,150.0,7.0,939.0,"Action, Comedy, Romance            ",telugu
tt0396582,Engal Anna,2004.0,,5.4,150.0,"Action, Comedy, Drama            ",tamil
tt3848888,The Shaukeens,2014.0,124.0,4.9,2873.0,Comedy            ,hindi
tt0230020,Balam Pardesia,1979.0,,7.5,11.0,Musical            ,bhojpuri
tt0248599,Veedu,1982.0,,6.4,5.0,Drama            ,malayalam
tt0231898,Khoj,1971.0,,5.5,6.0,Action            ,hindi
tt3476444,Mere Qatil Mere Dildar,,,7.8,46.0,Drama            ,urdu
tt9662750,Shahensha,2019.0,,5.7,105.0,"Action, Romance            ",bengali
tt0214935,Mattoral,1988.0,114.0,7.6,91.0,Drama            ,malayalam
tt2246551,Achal,2012.0,91.0,7.8,12.0,Drama            ,bengali
tt0279709,Budget Padmanabham,2001.0,,5.5,106.0,"Comedy, Drama            ",telugu
tt0857395,Prateeksha,2006.0,150.0,5.5,46.0,Romance            ,hindi
tt0364218,Bachpan,1963.0,,5.2,5.0,Drama            ,hindi
tt2675978,Dedh Ishqiya,2014.0,152.0,7.1,6934.0,"Comedy, Drama, Romance            ",hindi
tt0212808,Bhadar Tara Vehata Paani,1976.0,,8.3,7.0,Drama            ,gujarati
tt0359496,Janam Janam,1988.0,,5.8,41.0,"Mystery, Romance, Thriller            ",hindi
tt0246647,Ghar Sansar,,,5.5,8.0,Drama            ,bengali
tt0326722,Agnivarsha: The Fire and the Rain,2002.0,126.0,4.6,359.0,"Drama, Fantasy, Romance            ",hindi
tt3171836,Circus,,140.0,6.2,30.0,"Action, Thriller            ",kannada
tt8269104,Famous Pandey,2017.0,104.0,4.9,7.0,Drama            ,hindi
tt0469027,Bangaram,2006.0,178.0,4.7,746.0,"Action, Drama            ",telugu
tt0277024,Hum Rahe Na Hum,1984.0,,6.4,12.0,Drama            ,hindi
tt0449828,Ayya,2005.0,159.0,5.7,228.0,"Drama, Romance            ",tamil
tt7581902,Sonu Ke Titu Ki Sweety,2018.0,138.0,7.1,19673.0,"Comedy, Romance            ",hindi
tt0239674,Mr. 420,1992.0,,4.6,40.0,Comedy            ,urdu
tt5164436,Mah e Mir,2016.0,146.0,7.3,618.0,"Biography, Drama, Romance            ",oriya
tt0145851,Jagriti,1955.0,138.0,6.9,128.0,"Comedy, Drama, Family            ",hindi
tt0318972,Akasthile Paravakal,2001.0,125.0,6.2,28.0,"Action, Drama            ",malayalam
tt0115044,Zar Gul,1997.0,140.0,6.4,14.0,,urdu
tt0295599,Shantata! Court Chalu Aahe,1971.0,138.0,8.0,49.0,Drama            ,marathi
tt3727960,Glorious Resolve,2011.0,,8.4,24.0,"Short, War            ",oriya
tt10301262,The Lovely Mrs. Mookherjee,2019.0,,5.6,21.0,Drama            ,bengali
tt0319356,Enga Ooru Maappilai,1989.0,,4.1,7.0,,tamil
tt2902584,Agnishwar,1975.0,62.0,8.5,81.0,Drama            ,bengali
tt4489046,Lakshmi Raave Maa Intiki,2014.0,152.0,4.9,73.0,"Drama, Family, Romance            ",telugu
tt0260579,Yeh Desh,1984.0,150.0,5.9,37.0,"Action, Drama            ",hindi
tt0298327,Fakira,1976.0,139.0,6.5,96.0,"Action, Drama, Thriller            ",hindi
tt1575654,Pilla Nachindhi,1999.0,,6.1,11.0,Comedy            ,telugu
tt0230734,Sargam,1992.0,141.0,7.2,165.0,"Drama, Musical, Romance            ",malayalam
tt10298652,Dumpukht - Aatish e Ishq,,,8.5,11.0,Drama            ,oriya
tt5177914,Nirmon the Destiny,2015.0,,6.8,8.0,Drama            ,konkani
tt0232260,Palki,1967.0,160.0,5.5,35.0,"Drama, Family, Musical            ",hindi
tt0456165,Salaam Namaste,2005.0,158.0,6.2,6902.0,"Comedy, Drama, Romance            ",hindi
tt0319654,Kattuvannuvilichapol,2001.0,,5.1,7.0,,malayalam
tt0156642,Jeevan Natak,1935.0,139.0,6.2,12.0,,hindi
tt1596723,Click,,127.0,3.5,312.0,"Drama, Horror, Mystery            ",urdu
tt0155896,Nadodi Thendral,1992.0,140.0,6.5,40.0,,tamil
tt7476874,Adrishya,2017.0,106.0,3.3,100.0,"Drama, Family, Horror            ",hindi
tt7926004,Thaikkudam Bridge: Aarachar - Navarasam,,,7.8,13.0,"Short, Music            ",malayalam
tt11091572,RDX Love,2019.0,145.0,3.1,64.0,Drama            ,telugu
tt0244713,Phir Kab Milogi,1974.0,132.0,6.2,44.0,Romance            ,hindi
tt1134641,Saheli,1960.0,,7.7,7.0,Musical            ,urdu
tt4208710,Romeo Vs Juliet,2015.0,,4.9,218.0,"Action, Drama, Romance            ",bengali
tt0353975,Sandesham,1991.0,138.0,9.0,3776.0,"Comedy, Drama            ",malayalam
tt0247151,Actress,1948.0,,6.2,5.0,,hindi
tt0030505,Nirmala,1938.0,128.0,5.5,14.0,Drama            ,hindi
tt1961143,...EBONG KANNA,2010.0,119.0,8.1,10.0,Drama            ,bengali
tt0256852,Karunam,2000.0,78.0,7.2,12.0,Drama            ,malayalam
tt7583794,Her. Him. The Other,2018.0,116.0,6.9,14.0,Drama            ,tamil
tt10985618,Oru Kadath Naadan Katha,2019.0,,7.5,6.0,"Action, Crime, Drama            ",malayalam
